max_gtime_evolution,dRemovalTime,dReproductionTime,dTickTime,dOutputTime,dFracDeadNest,dFracLastIndRecord,dInitIntercept,dInitSlope,bIsCoevolve,dFracKilled,dMetabolicCost,dMutationStrength,dMutationStrengthCues,dFracIndMutStrength,dMutBias,iNumWorkers,iNumCues,iNumColonies,dInitNestStock,dInitFoodStock,dExpParam,dMeanActionTime,dRatePopStock,dConstantPopStock,dRateNestStock,iModelChoice,iTolChoice,iKillChoice,iRepChoice,iFoodResetChoice,iConstStockChoice,gtime,popstock,popsize,glasttime,popstocklast,popsizelast,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive,simulation_folder,rep_num
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,0.1,0.1,0,10,10,50,25,300,0.1,1,0,50,0,0,0,0,0,1,2,200000,183,44,199958,177,45,0.039602,0.0159079,0.0388588,0.0166327,1.83583,0.0407278,0.78894,0.00879202,1.83586,0.0406789,0.788941,0.00879594,0.998613,-2.78611,0.297915,-0.325111,0.648859,1.21977,1.07752,38.8044,0.950333,15084500,13364300,44095900,29011300,43994100,26563600,28944800,1.62222,2.40637,0.92888,2.88214,648.912,542.591,1955.59,155.575,1,1
200000,200,200,4,50.1,1,0.05,0,1,0,0.4,40,1,10,0.1,0,10,10,50,25,300,0.1,1,0,50,0,0,0,0,0,1,2,200000,242,31,199961,89,31,0.633732,0.166174,0.596772,0.179841,1.50728,0.321322,0.733972,0.094036,1.59541,0.282461,0.748052,0.0846278,0.997912,7.57179,16.5935,-0.0831723,0.281228,2.19973,0.664542,61.4345,18.1013,18379000,1693470,33528500,15149500,33425200,12711600,15116700,13.6452,17.3884,0.915357,2.75271,3822.62,3825.41,11758.2,158.046,10,1
200000,200,200,4,50.1,1,0.05,0,1,0,0.4,40,1,10,0.1,0,10,10,50,25,300,0.1,1,0,50,0,1,0,1,0,1,2,200000,92,32,199961,15,32,0.753602,0.171325,0.696591,0.183984,1.18662,0.373972,0.628718,0.159109,1.37575,0.299054,0.672957,0.120364,0.996826,13.903,14.789,-0.161063,0.171579,2.92821,0.783163,37.9302,11.7891,19182800,1950890,34332100,15149300,34228700,13993800,15116700,193.844,203.073,0.934454,2.91175,54596,54116.3,195761,157.697,100,2
200000,200,200,4,50.1,1,0.05,0,1,0,0.4,40,1,10,0.1,0,10,10,50,25,300,0.1,1,0,50,0,1,0,1,0,1,2,200000,65,34,199961,1,34,0.799443,0.180126,0.733663,0.188581,1.00661,0.409419,0.548293,0.198355,1.25899,0.322075,0.617797,0.145355,0.9984,17.5608,23.357,-0.195269,0.287488,2.84439,0.725704,32.5614,9.87275,19308600,1941340,34450800,15142200,34347700,14158700,15109200,280.265,251.802,0.946847,3.0635,78582.6,68189.3,195161,157.888,1000,17
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,0.1,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,0,0,1,2,200000,111,43,199958,44,43,0.0527261,0.0229233,0.0515833,0.0237862,1.88241,0.0401999,0.82129,0.00854462,1.8828,0.0399297,0.821315,0.00852288,0.998773,-0.894085,0.322797,-0.384329,0.642305,1.18427,0.878958,39.981,1.62246,14382900,13206000,43281400,28898500,43179500,26908600,28831400,2.11628,2.99775,0.930081,2.85541,774.688,783.338,3356.11,156.079,1001,17
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,0.5,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,0,0,1,2,200000,244,45,199958,282,45,0.359477,0.157794,0.351556,0.163054,1.87644,0.15686,0.819279,0.0369909,1.88315,0.153452,0.819811,0.0366596,0.998716,-4.12578,1.54561,-0.352346,0.74884,1.18793,1.13374,21.2064,3.97187,17151100,13379700,46424700,29273600,46324200,24895300,29209400,1.48889,1.85738,0.943194,2.98208,546.82,469.435,1955.72,155.705,1002,17
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,1,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,0,0,1,2,200000,17,42,199958,19,42,0.464017,0.148857,0.452964,0.160004,1.85103,0.132398,0.810883,0.0358468,1.85972,0.12695,0.811581,0.0352638,0.999328,7.31442,3.38205,-0.31658,0.789537,1.1897200000000001,1.00041,28.9923,8.57026,16793400,12298400,46027500,29234200,45927000,24988000,29170100,1.28571,2.41312,0.89231799999999994,2.55374,536.636,429.42,2155.7,155.68,1003,17
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,5,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,0,0,1,2,200000,22,40,199958,230,41,0.560416,0.142291,0.541997,0.157073,1.67552,0.186909,0.77588,0.0493627,1.70801,0.175593,0.779178,0.0479082,0.999184,-70.0505,16.7999,-0.311243,0.585569,1.33391,0.78397,64.5023,12.7546,13630000,9219480,42394000,28764000,42291600,25498400,28696200,1.58537,2.95474,0.890888,2.57856,624.342,551.034,2556.08,156.043,1004,17
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,10,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,0,0,1,2,200000,238,38,199959,42,38,0.60883,0.154611,0.579042,0.16624,1.61647,0.280232,0.758932,0.0770995,1.68457,0.238363,0.769352,0.0656764,0.998955,-28.1059,25.0795,-0.407415,0.672711,1.36741,0.973318,77.2704,20.6534,11013400,7106830,39119800,28106400,39015600,25360600,28035700,1.97368,3.1994,0.904533,2.63089,714.565,690.027,2956.7,156.66,1005,17
200000,200,200,4,50.1,1,0.05,0,1,0,0.4,40,1,0.1,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,0,0,1,2,200000,29,28,199965,1,29,0.401447,0.276194,0.388966,0.280594,1.85312,0.0323999,0.805138,0.0111876,1.85318,0.0322503,0.805141,0.0111876,0.999932,-0.427211,1.01606,0.0654469,0.203402,2.51632,0.548762,55.3911,6.53398,11126400,3638130,26226000,15099600,26091800,12625100,15055800,66.9655,172.319,0.737185,1.83104,10802.2,26043.4,130763,160.519,1006,17
