"iKC","iCSC","iFR","iRC","dTT","dCPS","dMSC","dFK","dMC","dEP","iMC","rp"
0,2,1,0,1,50,5,0.4,1,0.1,0,1
1,2,1,0,1,50,5,0.4,1,0.1,0,1
0,2,1,0,2,50,5,0.4,1,0.1,0,1
1,2,1,0,2,50,5,0.4,1,0.1,0,1
0,2,1,0,4,50,5,0.4,1,0.1,0,1
1,2,1,0,4,50,5,0.4,1,0.1,0,1
0,2,1,0,1,50,5,0.4,10,0.1,0,1
1,2,1,0,1,50,5,0.4,10,0.1,0,1
0,2,1,0,2,50,5,0.4,10,0.1,0,1
1,2,1,0,2,50,5,0.4,10,0.1,0,1
0,2,1,0,4,50,5,0.4,10,0.1,0,1
1,2,1,0,4,50,5,0.4,10,0.1,0,1
0,2,1,0,1,50,5,0.4,20,0.1,0,1
1,2,1,0,1,50,5,0.4,20,0.1,0,1
0,2,1,0,2,50,5,0.4,20,0.1,0,1
1,2,1,0,2,50,5,0.4,20,0.1,0,1
0,2,1,0,4,50,5,0.4,20,0.1,0,1
1,2,1,0,4,50,5,0.4,20,0.1,0,1
0,2,1,0,1,50,5,0.4,40,0.1,0,1
1,2,1,0,1,50,5,0.4,40,0.1,0,1
0,2,1,0,2,50,5,0.4,40,0.1,0,1
1,2,1,0,2,50,5,0.4,40,0.1,0,1
0,2,1,0,4,50,5,0.4,40,0.1,0,1
1,2,1,0,4,50,5,0.4,40,0.1,0,1
0,2,1,0,1,50,5,0.4,80,0.1,0,1
1,2,1,0,1,50,5,0.4,80,0.1,0,1
0,2,1,0,2,50,5,0.4,80,0.1,0,1
1,2,1,0,2,50,5,0.4,80,0.1,0,1
0,2,1,0,4,50,5,0.4,80,0.1,0,1
1,2,1,0,4,50,5,0.4,80,0.1,0,1
0,2,1,0,1,50,5,0.4,200,0.1,0,1
1,2,1,0,1,50,5,0.4,200,0.1,0,1
0,2,1,0,2,50,5,0.4,200,0.1,0,1
1,2,1,0,2,50,5,0.4,200,0.1,0,1
0,2,1,0,4,50,5,0.4,200,0.1,0,1
1,2,1,0,4,50,5,0.4,200,0.1,0,1
0,2,1,0,1,50,5,0.4,1,0.1,1,1
1,2,1,0,1,50,5,0.4,1,0.1,1,1
0,2,1,0,2,50,5,0.4,1,0.1,1,1
1,2,1,0,2,50,5,0.4,1,0.1,1,1
0,2,1,0,4,50,5,0.4,1,0.1,1,1
1,2,1,0,4,50,5,0.4,1,0.1,1,1
0,2,1,0,1,50,5,0.4,10,0.1,1,1
1,2,1,0,1,50,5,0.4,10,0.1,1,1
0,2,1,0,2,50,5,0.4,10,0.1,1,1
1,2,1,0,2,50,5,0.4,10,0.1,1,1
0,2,1,0,4,50,5,0.4,10,0.1,1,1
1,2,1,0,4,50,5,0.4,10,0.1,1,1
0,2,1,0,1,50,5,0.4,20,0.1,1,1
1,2,1,0,1,50,5,0.4,20,0.1,1,1
0,2,1,0,2,50,5,0.4,20,0.1,1,1
1,2,1,0,2,50,5,0.4,20,0.1,1,1
0,2,1,0,4,50,5,0.4,20,0.1,1,1
1,2,1,0,4,50,5,0.4,20,0.1,1,1
0,2,1,0,1,50,5,0.4,40,0.1,1,1
1,2,1,0,1,50,5,0.4,40,0.1,1,1
0,2,1,0,2,50,5,0.4,40,0.1,1,1
1,2,1,0,2,50,5,0.4,40,0.1,1,1
0,2,1,0,4,50,5,0.4,40,0.1,1,1
1,2,1,0,4,50,5,0.4,40,0.1,1,1
0,2,1,0,1,50,5,0.4,80,0.1,1,1
1,2,1,0,1,50,5,0.4,80,0.1,1,1
0,2,1,0,2,50,5,0.4,80,0.1,1,1
