dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4
0.01,0.01,0.4,40,20.1357,0,4,-0.090365,0,0,0,9,9,6,5,1,0,0,-0.00164961,1.00499,0,0.00603692,0.627691,5.96531,138.085,304.057,48.7173,5.78229,
0.01,0.01,0.4,40,20.1357,0,3,-0.0797661,0,1,0,10,9,10,4,0,0,0,0.0061848,0.99982,0,-0.00182181,0.580084,4.72654,166.149,146.392,35.8327,11.0429,
0.01,0.01,0.4,40,20.1357,0,5,-0.0495996,0,0,0,13,13,8,6,0,0,0,0.0154075,1.00216,0,-0.011863,0.397357,36.4448,56.1265,69.0913,178.204,30.2511,
0.01,0.01,0.4,40,20.1357,0,1,-0.689094,0,0,0,11,11,9,7,0,0,0,0.00212483,1.0047,0,-0.00895359,0.508473,309.213,28.8912,18.929,22.2173,30.3513,
0.01,0.01,0.4,40,20.1357,0,2,-0.06954,0,0,0,11,11,10,4,0,0,0,0.00938815,1.01046,1,-0.0105755,0.000199252,85.3567,73.6922,23.9628,69.1294,94.2549,
0.01,0.01,0.4,40,20.1357,3.73991,7,-0.0932538,6,0,0,11,11,10,5,1,1,0,0.0117772,1.0148,1,0.00387967,0.000226569,85.3457,73.6957,23.9237,69.138,94.2606,
0.01,0.01,0.4,40,20.1357,3.83489,8,-0.0497495,7,1,1,12,11,9,4,0,0,0,-0.0224043,1.00359,1,0.0246062,0.000209,85.358,73.6882,23.9249,69.1463,94.26,
0.01,0.01,0.4,40,20.1357,3.861,9,-0.178903,8,0,0,12,12,12,8,0,0,0,0.0112886,0.993465,0,0.00583796,0.000237023,85.3521,73.6859,23.9148,69.1538,94.2618,
0.01,0.01,0.4,40,20.1357,4.5791,10,-0.273002,6,0,0,11,11,8,1,0,0,0,0.00208357,1.00224,1,-0.0178801,0.000209591,85.3392,73.6924,23.9511,69.1273,94.2528,
0.01,0.01,0.4,40,20.1357,3.59922,6,-0.545373,2,0,0,14,14,11,9,0,0,0,-0.00371847,0.989959,3,-0.00369511,0.000197783,85.3391,73.6987,23.9418,69.1315,94.2688,
0.01,0.01,0.4,40,20.1357,7.71342,12,-0.0630719,11,0,0,12,12,9,4,0,0,0,0.0128051,0.998039,1,-0.0317255,0.000203049,85.3317,73.6802,23.9457,69.1242,94.2504,
