iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0,1,0.4,40,10.1008,0,32,-0.105762,0,21,11,35,14,31,0,24,14,0,0.919075,-0.966762,0,-0.121905,0.542125,11.547,3.37608,0.644248,20.5365,5.18014,1.34653,0.562672,39.3432,1.3057,0.948761,
0,1,0.4,40,10.1008,0,9,-0.0206644,0,21,8,43,22,37,0,23,0,0,1.03416,2.08185,0,-0.144915,0.533932,4.28779,2.1778,14.7749,5.60905,35.2865,2.55562,0.685515,13.7209,8.68135,69.0834,
0,1,0.4,40,10.1008,0,5,-0.126679,0,28,13,50,22,44,4,18,11,0,0.660645,-0.435991,0,0.462818,0.218401,16.983,7.3409,7.76276,19.5556,8.7764,11.2875,5.61995,9.01134,0.105027,10.2754,
0,1,0.4,40,10.1008,0,39,-0.01429,0,20,12,54,34,49,6,23,0,0,0.773024,2.42597,0,0.478614,0.287436,17.8454,17.9514,16.4445,17.736,14.2718,19.6806,18.7383,6.41629,7.72832,14.036,
0,1,0.4,40,20.2067,0,48,-0.138329,0,19,7,56,37,51,0,23,0,0,1.52269,0.608048,0,0.858914,0.265777,9.67331,7.7038,23.9958,6.89638,13.7435,18.565,10.1811,11.736,4.67463,10.5476,
0,1,0.4,40,20.2067,0,3,-0.207477,0,24,13,63,39,59,13,22,0,0,0.828467,1.0151,0,0.153336,0.447864,8.4687,11.7173,0.757873,32.8056,1.8481,11.3179,38.4788,8.63651,5.06905,37.7023,
0,1,0.4,40,20.2067,0,44,-0.0710014,0,33,20,70,37,64,0,32,0,0,2.05807,0.446154,0,-0.185769,0.262358,4.6435,8.40992,11.8234,8.34025,8.66931,6.51725,3.00886,1.43117,18.3174,22.396,
0,1,0.4,40,20.2067,0,33,-0.189614,0,25,16,64,39,57,0,31,0,0,1.20637,1.84113,0,0.0715447,0.421645,10.4456,5.23228,5.14106,4.39101,4.04576,4.73005,0.350604,2.1897,55.1702,12.3953,
0,1,0.4,40,20.2067,0,38,-0.0884016,0,28,16,75,47,72,26,36,14,0,0.345352,0.422834,0,-0.580565,0.420547,4.50221,0.371195,22.013,13.4566,21.6104,1.4029,21.5565,22.228,6.6612,12.3575,
0,1,0.4,40,20.2067,0,11,-0.82937,0,25,10,72,47,69,44,29,29,0,-0.862602,-0.490881,0,-1.02666,0.401246,14.4389,1.8726,39.27,13.9131,10.4778,13.1623,1.23799,13.3392,18.798,18.4721,
0,1,0.4,40,20.2067,0,13,-0.0703125,0,33,21,94,61,87,10,40,0,0,0.837762,3.44473,0,1.01798,0.437213,13.8536,2.43343,0.157247,6.78201,0.810797,42.7668,5.78099,0.174855,11.3589,12.9125,
0,1,0.4,40,20.2067,0,4,-0.0247914,0,37,23,89,52,86,32,34,26,0,0.35706,-0.149632,0,-0.0152355,0.402175,1.02803,4.27136,2.07715,13.3968,20.7413,17.5716,5.57105,2.01823,17.4686,4.50416,
0,1,0.4,40,20.2067,0,26,-0.0917392,0,33,22,87,54,79,2,34,0,0,0.921556,2.22498,0,0.324354,0.433077,28.7106,4.55928,5.16873,4.8899,0.331788,16.1668,3.87208,12.7975,1.18896,3.97617,
0,1,0.4,40,20.2067,0,12,-0.0588607,0,41,15,101,60,97,0,29,0,0,0.98996,1.69023,0,0.437112,0.326455,7.48822,0.360131,19.9591,3.88729,2.68938,0.850392,9.09003,2.57024,6.79286,9.77989,
0,1,0.4,40,30.3099,0,36,-0.102004,0,40,24,99,59,94,0,41,0,0,1.56112,1.32035,0,-0.341347,0.353755,2.38047,20.5652,4.98413,12.9984,6.01581,8.4056,3.43439,0.417384,2.29132,3.65593,
0,1,0.4,40,30.3099,0,21,-0.0285849,0,31,20,97,66,91,0,41,0,0,1.15764,0.441418,0,-0.336823,0.420329,15.4258,5.75796,0.694209,25.5033,1.18128,3.68638,0.794036,1.75713,5.2792,6.50455,
0,1,0.4,40,40.4125,0,50,-0.117522,0,54,24,191,137,185,37,51,0,0,0.67172,1.34855,0,-0.28801,0.263099,0.706088,5.70462,7.92614,11.1746,5.20783,23.144,7.58848,8.29979,9.7793,3.13461,
0,1,0.4,40,90.9277,0,37,-0.0972586,0,94,66,405,311,401,98,87,0,0,0.687689,1.59987,0,0.894931,0.342149,2.68635,21.1644,4.13274,0.503191,0.586968,6.96209,3.17785,7.47741,9.82111,19.872,
0,1,0.4,40,191.958,0,30,-0.00917709,0,197,152,930,733,924,223,196,0,0,0.708938,1.53198,0,1.32974,0.2811,6.3971,3.13188,2.55561,10.1358,0.725352,7.25913,5.18157,15.813,10.3693,5.32411,
0,1,0.4,40,202.06,0,25,67.1664,0,224,142,998,774,994,771,228,131,0,-0.0292288,0.764113,0,-0.228064,0.497439,0.976254,26.7915,39.8819,19.619,3.17719,5.88997,32.6779,6.40568,14.0988,0.54915,
0,1,0.4,40,222.265,0,8,-0.319009,0,245,170,1078,833,1073,832,261,198,0,-0.325988,1.19378,0,-1.27692,0.379003,13.1486,38.7259,19.7197,3.08623,6.02165,4.85855,19.0889,8.93933,3.78564,21.9724,
0,1,0.4,40,222.265,200.004,66,-0.532225,41,32,22,65,33,58,31,36,36,0,-0.238894,-0.525607,0,-0.378487,0.311894,9.4052,0,5.56483,19.2242,2.28051,7.59027,1.10426,5.63039,13.6398,19.0485,
