dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0.1,1,0.4,40,10.1013,0,17,-0.398514,0,18,10,26,8,20,4,15,15,0,0.380343,-0.814286,0,0.0011931,0.371928,14.2008,10.2096,45.2381,3.52557,15.3079,8.57549,3.96802,14.3418,21.4941,20.3143,
0.1,1,0.4,40,10.1013,0,25,-0.126539,0,20,11,23,3,19,3,20,20,0,-0.46724,0.681053,0,-0.324926,0.444312,0.0396112,1.44381,0.219076,17.4555,30.3559,28.0691,10.2147,1.46572,3.98255,4.48188,
0.1,1,0.4,40,10.1013,0,10,-0.560852,0,19,16,27,8,20,8,25,25,0,-0.891328,-0.720442,0,-0.866759,0.328847,3.29738,7.26598,4.68172,30.8109,16.9995,9.98464,1.11631,4.92632,5.84736,6.87257,
0.1,1,0.4,40,10.1013,0,12,-0.384145,0,18,9,25,7,20,1,18,14,0,0.780955,-1.27979,0,-0.68363,0.309358,8.04646,48.5115,6.70387,7.38488,0.0498528,14.1923,12.2153,14.2743,13.8828,13.284,
0.1,1,0.4,40,10.1013,0,37,-0.552299,0,15,8,20,5,14,3,13,13,0,0.26951,-0.129763,0,-0.152931,0.517644,4.71246,20.9595,14.7671,41.2533,0.780087,11.4805,32.7615,66.8188,9.61805,26.3014,
0.1,1,0.4,40,10.1013,0,24,-0.138739,0,19,10,25,6,21,6,21,21,0,-1.14314,-0.468401,0,0.677063,0.392233,28.1733,29.6053,5.18104,12.9872,1.36466,12.2273,3.52949,4.2111,13.3559,0.178157,
0.1,1,0.4,40,10.1013,0,28,-0.0209203,0,20,15,27,7,22,7,18,18,0,-0.0952342,-0.820201,0,-0.467772,0.365095,7.66806,27.4019,5.09767,7.87528,34.6033,2.14897,9.70901,19.0961,26.4583,3.86032,
0.1,1,0.4,40,10.1013,0,19,-0.923714,0,16,10,22,6,19,6,17,17,0,0.240923,-0.481614,0,0.610752,0.490334,3.33962,18.267,16.9766,28.713,54.8006,38.026,6.67228,1.10126,4.57696,10.3219,
0.1,1,0.4,40,10.1013,0,16,-0.0154689,0,21,8,27,6,20,5,23,23,0,-1.87229,0.942752,0,-1.1395,0.423232,3.29555,5.31549,3.99331,0.136412,13.8212,3.98313,22.6226,1.12794,4.56887,15.957,
0.1,1,0.4,40,10.1013,0,44,-0.0648612,0,20,10,24,4,22,2,33,16,0,0.628722,-0.505581,0,-0.581672,0.386327,17.7316,8.3011,8.25148,13.8038,0.711208,8.23748,23.3129,5.27209,2.15304,33.4671,
0.1,1,0.4,40,10.1013,0,46,-0.980968,0,19,13,25,6,21,6,22,22,0,-0.532624,0.480169,0,1.04254,0.408068,1.48206,55.1741,7.07173,0.117364,3.85527,14.0863,8.31155,8.74465,2.10953,7.53679,
0.1,1,0.4,40,10.1013,0,15,-0.0760453,0,20,10,25,5,22,5,22,22,0,-1.29143,0.979194,0,-4.00968,0.298579,18.4231,3.63244,2.00078,16.6116,1.03756,12.8374,2.31231,14.5973,6.1146,8.91302,
0.1,1,0.4,40,10.1013,0,27,-0.00716381,0,23,13,33,10,27,10,21,21,0,-0.398309,0.35592,0,0.322344,0.299956,5.30936,0.635542,8.83587,10.3912,15.6219,11.5476,4.34193,34.7293,7.92749,17.8799,
0.1,1,0.4,40,10.1013,0,49,-0.146413,0,21,10,26,5,20,5,20,20,0,-2.13371,1.71524,0,-0.783885,0.358822,4.58147,7.03814,5.40292,21.082,1.55891,11.4077,1.34348,36.1029,8.22234,13.8503,
0.1,1,0.4,40,10.1013,0,47,-0.268949,0,24,15,28,4,21,1,26,17,0,0.702408,-0.846303,0,-0.191304,0.383539,10.7789,1.82109,29.4264,4.45272,24.1041,7.9727,7.92122,3.23241,0.6501,4.8177,
