dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.1,1,0.4,40,50.1007,7.78461,4,0.522507,0.0627196,0.405627,0.22282,1.87643,0.088558,0.80525,0.0292262,1.87532,0.0912075,0.805025,0.0297062,0.987464,0.462678,0.588032,0.0257746,0.356686,2.21291,0.839507,49.9342,13.9601,2252,630,3296,1044,3054,736,995,0,0,1,0,50.1007,0,50.1007,50.1007
0.1,1,0.4,40,100.264,11.2414,4,0.522507,0.0627196,0.405627,0.22282,1.87643,0.088558,0.80525,0.0292262,1.87532,0.0912075,0.805025,0.0297062,0.985337,0.462678,0.588032,0.0257746,0.356686,2.21291,0.839507,49.9342,13.9601,2486,647,4279,1793,4039,1343,1749,0,0,1,0,100.264,0,100.264,100.264
0.1,1,0.4,40,150.392,10.1612,4,0.522507,0.0627196,0.405627,0.22282,1.87643,0.088558,0.80525,0.0292262,1.87532,0.0912075,0.805025,0.0297062,0.987455,0.462678,0.588032,0.0257746,0.356686,2.21291,0.839507,49.9342,13.9601,2738,667,5284,2546,5043,1969,2497,0,0,1,0,150.392,0,150.392,150.392
0.1,1,0.4,40,200.493,159.369,50,0.406035,0.195075,0.39862,0.200148,1.86335,0.131788,0.805293,0.0357921,1.86523,0.130969,0.805438,0.0357778,0.991375,0.549744,1.13183,-0.170255,1.15653,1.0643,1.05244,55.1044,12.9745,3010,691,6449,3439,6089,2609,3288,0.92,3.30962,0.721172,1.31921,16.4301,54.2772,200.493,0.424605
0.1,1,0.4,40,250.618,6.56456,5,0.470138,0.189695,0.386436,0.247041,1.8828,0.144204,0.808584,0.0359537,1.88434,0.144136,0.808558,0.0364182,0.997842,0.2663,0.982725,0.160856,0.335135,1.95378,0.875362,42.0272,7.28733,5729,1680,10073,4344,9605,3300,4269,3.4,4.71593,0.415225,0.605797,130.577,98.0131,250.618,50.5498
0.1,1,0.4,40,300.823,11.6303,5,0.470138,0.189695,0.386436,0.247041,1.8828,0.144204,0.808584,0.0359537,1.88434,0.144136,0.808558,0.0364182,0.99718,0.2663,0.982725,0.160856,0.335135,1.95378,0.875362,42.0272,7.28733,6211,1736,11303,5092,10831,3848,5015,3.4,4.71593,0.415225,0.605797,180.782,98.0131,300.823,100.754
0.1,1,0.4,40,350.971,8.8488,5,0.470138,0.189695,0.386436,0.247041,1.8828,0.144204,0.808584,0.0359537,1.88434,0.144136,0.808558,0.0364182,0.994235,0.2663,0.982725,0.160856,0.335135,1.95378,0.875362,42.0272,7.28733,6721,1807,12568,5847,12101,4395,5776,3.4,4.71593,0.415225,0.605797,230.929,98.0131,350.971,150.902
0.1,1,0.4,40,401.076,68.5235,50,0.385668,0.214148,0.378686,0.217276,1.87686,0.153703,0.808924,0.0402303,1.87989,0.152111,0.809162,0.0400084,0.9965,0.00601929,1.55645,0.154853,0.975045,1.07451,0.998662,44.631,6.41128,7325,1907,14158,6833,13507,5014,6620,1.24,4.57629,0.707596,1.41896,28.9749,89.5546,401.076,0.968233
0.1,1,0.4,40,451.229,5.55838,5,0.321705,0.237987,0.264924,0.245829,1.8505,0.130734,0.800978,0.0311161,1.85334,0.129758,0.800784,0.0314451,0.995394,0.398944,1.01229,0.484976,0.243696,1.32042,0.443822,36.5555,7.05144,10920,2738,18569,7649,17877,5449,7540,5.2,4.44522,0.653846,1.07988,211.158,149.705,451.229,51.1209
0.1,1,0.4,40,501.398,9.09361,4,0.370741,0.2476,0.28783,0.264125,1.82596,0.135478,0.795939,0.0329134,1.83137,0.136399,0.796097,0.0335492,0.998406,0.414215,1.13126,0.431633,0.244964,1.51832,0.224491,36.498,7.8827,11218,2777,19616,8398,18917,5834,8283,6.5,4.03113,0.653846,1.07988,301.337,141.46,501.398,101.29
