dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,for,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive
0.01,0.01,0.4,40,20.1013,133.506,5,0.000129512,5.31554e-05,0.000111964,6.42841e-05,1.3996,9.45822e-05,0.722188,2.66458e-05,1.3996,9.40824e-05,0.722189,2.64499e-05,0.92559,0.00311667,0.00373073,-0.00514919,0.0106167,0.997649,0.0119411,192.918,0.0218558,3,1,270,267,236,123,233,0.8,0.748331,0.625,1.03972,4.37882,2.04352,6.80331,1.69913
0.01,0.01,0.4,40,40.2181,4.09069,5,7.36166e-05,2.52202e-05,6.49518e-05,3.3308e-05,1.39998,2.31244e-05,0.722306,5.4462e-06,1.39999,2.29084e-05,0.722306,5.79029e-06,0.959872,0.0085726,0.0038128,-0.00163396,0.00416886,1.00149,0.0126573,192.941,0.0071182,35,15,532,497,469,239,437,0.8,0.748331,0.625,1.03972,3.82648,1.42833,6.01494,1.80704
0.01,0.01,0.4,40,60.3253,2.54732,5,0.000184158,5.31571e-05,0.000156708,7.96625e-05,1.39995,0.000168482,0.722324,5.11923e-05,1.39995,0.000170082,0.722324,5.15001e-05,0.993269,0.0135244,0.0160545,-0.000888608,0.00971458,1.0014,0.00531078,192.857,0.0350263,142,70,791,649,689,314,576,0.6,0.8,0.444444,0.636514,2.25717,2.25427,5.3808,0
0.01,0.01,0.4,40,80.4962,1.49527,5,0.000157301,5.22551e-05,0.000133989,7.0546e-05,1.40027,0.000123009,0.722411,3.45323e-05,1.40027,0.000122725,0.722411,3.45183e-05,0.996408,0.0345992,0.0093567,-0.000987432,0.0123266,1.00142,0.0133038,192.853,0.0239301,243,115,1073,830,927,373,723,0.8,0.748331,0.625,1.03972,3.05225,1.22308,4.80037,1.56172
0.01,0.01,0.4,40,100.63,4.71045,5,9.82914e-05,2.41014e-05,8.29586e-05,3.87835e-05,1.40028,5.85048e-05,0.722411,1.72961e-05,1.40028,5.79737e-05,0.72241,1.76007e-05,0.991372,0.091039,0.0076204,0.00604582,0.0108404,1.00481,0.00479484,192.814,0.0162001,335,165,1345,1010,1164,454,886,0.8,0.748331,0.625,1.03972,4.00296,1.93782,7.776,2.25386
0.01,0.01,0.4,40,120.822,0.712943,5,0.000130953,4.97571e-05,0.000111905,6.27947e-05,1.40044,5.66013e-05,0.722449,1.99119e-05,1.40043,5.79882e-05,0.722448,1.99837e-05,0.995278,0.101316,0.0091804,-0.00447533,0.00894879,0.998098,0.0065579,192.841,0.0127661,421,210,1604,1183,1385,529,1031,0.6,0.8,0.444444,0.636514,3.73798,2.77634,7.26471,0.604691
0.01,0.01,0.4,40,140.931,0.206809,5,0.000211851,8.30336e-05,0.000178805,0.00010476,1.40032,0.000162867,0.722402,5.9733e-05,1.40032,0.000161915,0.722404,5.91502e-05,0.998569,0.0994045,0.00930839,-0.0076586,0.00997746,1.00158,0.00248005,192.868,0.0406146,505,250,1873,1368,1618,610,1195,0.6,0.489898,0.666667,1.09861,4.70711,1.87182,7.34855,2.22489
0.01,0.01,0.4,40,161.035,0.720482,5,0.000167509,8.4302e-05,0.000143671,9.8552e-05,1.40033,8.8053e-05,0.722388,3.1601e-05,1.40033,9.07488e-05,0.722388,3.20194e-05,0.982869,0.142925,0.00666764,-0.00329344,0.00717109,1.00325,0.00847925,192.847,0.0254417,588,292,2166,1578,1873,699,1382,0.6,0.8,0.444444,0.636514,2.6338,1.07769,4.45388,1.18914
0.01,0.01,0.4,40,181.155,0.664467,5,0.000179017,7.21704e-05,0.000150355,8.84952e-05,1.39988,6.35959e-05,0.722223,2.67696e-05,1.39988,6.54578e-05,0.722223,2.74269e-05,0.996625,0.143615,0.00821978,0.00431997,0.00670972,1.00199,0.00823565,192.733,0.00764623,658,324,2433,1775,2117,786,1563,0.4,0.8,0,0,4.60839,2.31705,7.25894,1.45431
0.01,0.01,0.4,40,201.272,0.298286,5,0.000215205,0.000104621,0.000182319,0.000121452,1.39984,0.000186547,0.722212,5.5085e-05,1.39985,0.000186824,0.722213,5.53829e-05,0.998976,0.128989,0.0128042,0.00677796,0.00849184,1.00326,0.0081921,192.757,0.0154719,732,365,2723,1991,2360,879,1743,0.4,0.8,0,0,1.73745,0.508898,2.6196,1.25863
0.01,0.01,0.4,40,221.375,3.61678,5,0.000253117,0.000116777,0.000213393,0.000137188,1.39976,0.000136092,0.722154,5.84361e-05,1.39976,0.000135858,0.722154,5.82847e-05,0.99922,0.139392,0.0322917,-0.000699065,0.00721453,1.00055,0.0131947,192.781,0.0317728,834,411,2981,2147,2593,962,1886,0.6,0.489898,0.666667,1.09861,4.75479,1.76531,7.23007,2.70508
0.01,0.01,0.4,40,241.537,0.70762,5,0.000167468,3.5432e-05,0.000144343,6.70389e-05,1.39959,8.34659e-05,0.722085,1.98243e-05,1.39959,8.4663e-05,0.722086,1.9435e-05,0.992305,0.161283,0.00563284,-0.00403228,0.00769891,1.00527,0.0114489,192.809,0.0150015,923,464,3289,2366,2850,1062,2069,0.6,0.489898,0.666667,1.09861,4.1352,1.09982,5.5831,2.68501
